,Asset ID,Employee ID,Purchase Date,Last Maintenance Date,CPU Usage (%),Memory Usage (%),Disk Usage (%),Network Activity (MB),OS Version,Software Installed,Age (years),Issue Reported,Incident Description,Time to Failure (hours),Failure Predicted,Resolution Type
28,45593a2e-3c57-4fc1-a15b-d08a7c671d14,a6124dd5-202b-4d9f-8ff1-25683cf8f5ba,2023-02-01,2024-05-27,12,75,15,1670,Windows 10,43,9,System slow,Frequent application crashes are disrupting my work. The software closes without warning.,147,No,self
29,80e4c8f5-82bf-476b-b842-346c66cafd0a,d0b14a9c-bbda-4ea3-8b3a-4701fa5c5c5c,2024-06-21,2024-03-12,58,33,63,4450,Linux,6,10,Application crash,The battery indicator is malfunctioning. It shows incorrect battery levels.,146,Yes,self
30,1d2f437f-2a0a-428b-910c-7e51750fc5f7,be8274c6-7dc8-4f5e-8c8b-9501c89293f8,2020-06-26,2024-07-01,56,79,71,4565,Linux,13,6,Blue screen error,Compatibility issues with the new application. It does not work with the current OS.,26,Yes,IT support
31,03fbdda4-09a1-4916-b9c2-696de5836f8d,b776aaf8-42cb-49dc-b67f-53c5262dd8dd,2024-07-04,2024-04-30,10,91,13,849,MacOS,48,5,Blue screen error,Battery drains too quickly. I need to plug in the charger often.,161,Yes,self
32,0ca3c537-6bed-40da-9661-a982bccaf948,c30066b9-f581-4d43-852a-45a72db58a28,2023-04-23,2024-03-30,37,52,40,4767,Linux,46,7,Disk error,The battery indicator is malfunctioning. It shows incorrect battery levels.,58,No,self
33,61cb28eb-8fdc-4dc1-abb0-9c4de69ea60b,12bec109-970d-478b-8231-1ce61c32a491,2021-12-17,2024-01-04,81,57,24,4840,Windows 10,26,8,Disk error,Frequent application crashes are disrupting my work. The software closes without warning.,104,No,IT support
34,4ef0fbd5-32fb-44ff-a43f-750c3b70bb35,47bcf355-f815-4965-a606-242883d657b0,2023-05-20,2024-02-02,88,53,60,2236,Linux,17,7,Disk error,System performance has degraded significantly. Even simple tasks are taking a long time.,58,Yes,self
35,0362fd86-e4ee-47a5-8ec0-58372deb21b4,bee92c47-2190-4c82-a49f-27555294a7af,2020-12-06,2024-05-11,19,81,20,926,Linux,44,1,Software compatibility issue,The system gets very hot during use. This causes it to shut down.,36,No,self
36,b1a12eb0-fab4-462f-9efa-c7b24b2ac3c7,f195bd4c-0621-4a6c-8e98-235ebf3a7bf7,2022-01-22,2024-07-13,94,48,91,1050,Linux,37,8,System slow,The system gets very hot during use. This causes it to shut down.,169,Yes,IT support
37,c16a457c-74ed-4355-8fd0-b958abd6da85,f3bf503a-eb91-45ee-97e6-1f19806013e0,2021-05-25,2024-04-10,29,50,21,4097,Windows 10,50,8,Blue screen error,There is an error with the disk drive. The system cannot read or write data properly.,122,Yes,IT support
38,c5505cc6-1839-4ae4-b9c0-9afd42b4739b,b99d1f3c-2740-4979-be0f-98f07fdd9b05,2020-12-19,2024-01-23,37,36,23,4453,Windows 10,27,2,Network disconnection,I am unable to use the software because it crashes often. This is causing a loss of data.,57,No,IT support
39,958ca441-efb1-42f8-9c64-2796d6eea5dc,9f170a5c-455f-4ad0-9519-f31191dba84d,2024-01-09,2024-05-03,30,84,63,1720,Linux,14,9,Application crash,Overheating is causing the system to shut down. This happens frequently.,184,No,IT support
40,10583449-042a-4b97-bed2-df38fd356545,0170006e-b80f-4d40-be9f-0a4cbe151e41,2020-09-01,2024-03-28,61,91,47,3481,Linux,39,2,Blue screen error,Disk read/write errors are occurring frequently. This is slowing down the system.,148,Yes,IT support
41,c54c81d7-ce14-4aa9-b9b7-6feb9bafd054,2dca3bd2-f976-4b7c-873d-26d695556a7b,2020-06-24,2024-05-24,77,100,86,4987,MacOS,26,8,System slow,I keep losing my internet connection. This is affecting my ability to work.,53,No,self
42,b64f4c81-e4d5-40a5-9143-1e09dd7e977f,37d4417c-dcb2-4e7f-a773-a309e6df454f,2021-07-21,2024-05-01,10,60,38,2728,MacOS,20,9,Disk error,Frequent application crashes are disrupting my work. The software closes without warning.,130,No,self
43,5f816506-3e7e-4d8c-b137-ffc06248dfc2,2de079ca-ecfe-4c97-b327-2f2ea4cffacd,2022-02-23,2024-02-07,92,60,50,1523,Linux,13,4,System slow,I keep losing my internet connection. This is affecting my ability to work.,49,No,self
44,f205d41e-c60e-4fec-b8c8-ad7951c2c72d,c23d3e1b-3329-417d-8b72-e68e3991a974,2023-12-10,2024-01-18,76,23,100,1325,MacOS,49,4,Network disconnection,I keep losing my internet connection. This is affecting my ability to work.,47,No,IT support
45,215b64ab-cc0f-4ace-b4bf-8a968b26f1ec,1890f418-7ac3-4b89-996f-73bdcaea99fa,2021-09-15,2024-05-28,38,23,69,977,MacOS,49,8,System slow,The network connection is unstable. I keep losing my internet connection.,79,Yes,self
46,359a31f5-28c5-48b1-a1de-29bcfa886776,1d79f2fb-c531-4c83-affe-385f6c679514,2024-04-11,2024-07-02,74,53,43,4017,MacOS,19,7,Blue screen error,The software is not compatible with the system. I cannot install or run the application.,74,Yes,self
47,8003dc7c-24f2-4692-b29a-0346cfd06c0b,e5728b3c-b08b-41ac-9e53-cfe4cd67951d,2021-02-28,2024-03-25,43,17,82,3476,Windows 10,9,2,Overheating,The network connection is unstable. I keep losing my internet connection.,145,No,self
48,541eafc5-517b-495a-bbf1-d192d06bc429,7334681a-8d63-46d6-876f-9139f6d2c53f,2020-06-16,2024-04-20,81,13,47,2833,MacOS,5,3,Software compatibility issue,The system shows a disk error message. I am unable to access certain files.,39,Yes,self
49,09744e02-65b0-4623-8b9a-6cdc002786de,fc135419-ec46-4951-a58c-17f897e7827f,2024-02-05,2024-03-22,99,56,16,3449,MacOS,27,8,Blue screen error,I encountered a blue screen error while working. The system needs to be restarted.,106,Yes,IT support
50,8d02cddd-acbb-4671-b1fb-e228711f1092,ae01aefa-4c50-418f-baef-e32551cf05b4,2020-09-14,2024-02-06,14,47,15,294,Windows 11,25,6,Blue screen error,I encountered a blue screen error while working. The system needs to be restarted.,132,Yes,IT support
51,6299ea94-7164-4315-b7ed-b25ec5abf064,5aa0a009-e454-48a6-b50d-d766448303f1,2020-11-19,2024-07-04,78,65,87,3797,Windows 11,27,9,Disk error,The computer is overheating. The system gets very hot during use.,111,No,IT support
52,6d2f845f-8e62-4307-8d8a-a2f2c053ab16,03d4ced8-afc3-4efb-bd7c-e1b8e75dd1d7,2021-10-28,2024-04-10,29,61,99,138,MacOS,12,6,Overheating,I keep losing my internet connection. This is affecting my ability to work.,117,No,self
53,fc7d79c8-4a01-4eda-8030-f42d30cbf158,6c1be0df-e2e3-426f-9c77-c04d7e8c1d38,2021-02-13,2024-06-21,29,20,100,877,Windows 10,43,7,Blue screen error,The application keeps crashing unexpectedly. I am unable to complete my work.,16,Yes,IT support
54,93928f92-251f-4e49-8995-83a6e2a20f86,7373b69c-bba8-4d58-abaf-ca56cfc04886,2021-05-30,2024-04-12,75,71,66,221,Linux,40,7,Overheating,The computer shows a blue screen error. This happens randomly during work.,71,No,IT support
55,1b14732a-ca4d-43ab-be80-d15f15a202cf,70f0dcc7-18dd-4053-bb7d-9df54ca3fd93,2023-07-29,2024-04-05,53,82,33,3859,Windows 11,23,1,Network disconnection,The application keeps crashing unexpectedly. I am unable to complete my work.,174,No,IT support
56,55d7abb5-1f61-4bd4-8ac6-828fcba35e63,643d7c49-19a6-4008-bd97-86453c047df5,2020-05-03,2024-04-28,85,32,95,4849,MacOS,18,2,Application crash,Overheating is causing the system to shut down. This happens frequently.,153,Yes,self
57,23b22bfb-fd4c-4d54-a559-d0668005cc55,e4af0dea-1fda-42e9-b7e8-239b7391a3db,2020-02-13,2024-04-19,77,86,84,3011,Linux,28,3,Blue screen error,There is an error with the disk drive. The system cannot read or write data properly.,176,Yes,self
58,97d63968-a072-44e3-a7c9-1cb4b85903c6,53710a35-f223-40a4-92a2-5594fe37503a,2021-05-12,2024-02-01,73,82,14,336,Windows 11,31,8,Network disconnection,Applications are taking too long to load. The system freezes frequently.,23,No,IT support
59,fedd2fc5-3620-4c6a-9590-d066adb4db56,3ea0d315-be44-4f81-933a-4d28413d937c,2021-07-31,2024-01-21,90,74,97,245,Windows 11,17,6,Disk error,The computer shows a blue screen error. This happens randomly during work.,100,Yes,IT support
60,6ba8a7f1-88eb-46d9-a548-d61997a1fa79,f886c969-7ee4-4ed5-ba62-2c09adaee73c,2020-02-10,2024-06-06,75,66,24,1222,Windows 11,48,10,System slow,The software is not compatible with the system. I cannot install or run the application.,116,No,self
61,74fd52ac-97e9-4021-94f3-4125cb22e129,b133622f-0652-4cfd-98dc-3aca8fcf7980,2020-02-23,2024-04-12,50,95,47,565,Windows 11,6,10,System slow,I encountered a blue screen error while working. The system needs to be restarted.,163,Yes,IT support
62,6b042815-c16d-40ef-a47e-21165ed29ff3,4d431a7b-ac2c-4793-84b9-d2c5d10390a8,2022-10-25,2024-05-09,16,79,79,1584,Windows 11,35,3,System slow,I am unable to use the software because it crashes often. This is causing a loss of data.,124,Yes,IT support
63,3f028a01-e492-4a6a-a16b-8b094386f946,64e56e0a-1a55-40aa-9f52-8af59a20df3c,2024-03-01,2024-01-02,92,90,61,4788,Linux,14,7,Battery issue,The system gets very hot during use. This causes it to shut down.,22,No,self
64,018cdb7c-46dd-4a77-9866-6aee6b335a37,d9d3364e-2b3b-45d4-b82a-14ed84cd96aa,2021-10-11,2024-01-04,51,43,21,2830,Linux,18,6,Blue screen error,The application keeps crashing unexpectedly. I am unable to complete my work.,76,Yes,self
65,75198a75-5a8c-4ae6-ad27-dd4f5f293d40,975614c6-da1c-40fd-aeb0-0cb6913a681b,2022-11-05,2024-06-05,54,62,60,1067,Windows 11,27,4,Disk error,The application keeps crashing unexpectedly. I am unable to complete my work.,166,Yes,self
66,0165a366-7fe0-41e4-8d20-02c58c327456,f994ab29-a925-475c-a7b5-b96c2be71fb6,2021-04-22,2024-02-07,58,65,72,1850,Linux,47,6,Disk error,Overheating is causing the system to shut down. This happens frequently.,84,Yes,IT support
67,328f57a1-7de0-48f4-b684-0254b838f636,f61a46ad-9196-4d1a-a426-d455eb6ccc16,2020-05-28,2024-01-16,55,20,80,2633,Windows 10,44,4,System slow,The software is not compatible with the system. I cannot install or run the application.,19,No,IT support
68,d95667b0-85d1-45bf-842f-5a1fbe417917,9ca518b0-d603-4118-af10-5200c3194539,2024-04-13,2024-05-24,77,89,38,240,Windows 11,13,1,Application crash,The system crashed with a blue screen. I lost all unsaved work.,54,Yes,self
69,4cae2ce2-5d21-45a7-9d86-c7b22c764383,834a41f6-5539-4239-9865-99cb77c3a5d2,2021-02-24,2024-07-03,74,12,51,2640,Windows 11,41,10,Battery issue,The Wi-Fi disconnects frequently. It takes a while to reconnect.,59,No,self
70,1111a17a-c15f-4d8f-b509-99f2e4719f4c,caa35a66-6be0-45fc-8926-831a445d0873,2020-10-17,2024-04-08,46,49,26,2092,Linux,14,5,Network disconnection,The laptop battery is not holding a charge. It drains very quickly.,43,No,IT support
71,48d6f81d-ec3b-497c-b466-4a80297c21c7,1c41fd2f-df86-41dc-a683-162513e8ebf4,2020-10-25,2024-06-05,59,77,36,3351,Linux,15,3,Battery issue,I encountered a blue screen error while working. The system needs to be restarted.,35,Yes,IT support
72,eef48750-eced-405d-a669-f5149f9ea6eb,f215ba4d-525f-42db-a13c-9784d758fcc1,2021-10-25,2024-04-24,83,44,47,1902,Windows 10,32,8,Network disconnection,The Wi-Fi disconnects frequently. It takes a while to reconnect.,160,Yes,IT support
73,a2d11f7e-95d8-4fd4-ac8b-0b750944cf3c,5ce85499-a23c-46bc-8e10-9feeca13c0e9,2021-03-13,2024-01-03,82,32,36,2012,Linux,45,2,Overheating,Applications are taking too long to load. The system freezes frequently.,192,Yes,self
74,abdd4902-6a51-460b-acfa-de5676d6b012,7cddf37c-8865-4dba-bc32-e1d15e007d8b,2023-04-20,2024-04-19,93,25,85,4257,Windows 10,43,5,Battery issue,The computer is overheating. The system gets very hot during use.,87,No,IT support
75,a2461ac9-8fd1-4c8c-b21d-bf88311c406d,5b12b659-5426-49c5-b4ab-aaacbed44670,2024-03-21,2024-02-03,72,13,15,4448,MacOS,24,8,Disk error,Applications are taking too long to load. The system freezes frequently.,193,Yes,self
76,7a3b0c3a-fadb-4cb4-99aa-120bfebf35ff,f8d26bdc-4569-4f9b-b4f9-560a18146b6e,2024-05-10,2024-06-01,42,82,40,2827,MacOS,35,2,Network disconnection,The computer shows a blue screen error. This happens randomly during work.,43,Yes,self
77,b1f8403e-db98-44ff-94f8-cfc30660d975,77fe9357-ff40-4bfb-b922-9482d18105e5,2020-02-03,2024-03-23,64,41,50,3115,MacOS,11,6,Disk error,I keep losing my internet connection. This is affecting my ability to work.,156,No,IT support
78,5132fac5-8503-4a3c-9a41-9af3688ff970,d51b4307-e7ea-4d84-8e84-26af23fef223,2022-06-13,2024-06-27,85,10,90,1336,Windows 10,11,4,Disk error,I am unable to use the software because it crashes often. This is causing a loss of data.,64,Yes,IT support
79,5a9ff844-649a-4d01-82cb-90d83a9cd7dc,71583fcf-ead7-4258-a9c4-0784514a6adf,2022-11-17,2024-05-25,13,42,91,3488,Linux,11,10,Software compatibility issue,The computer is running very slowly. It takes a long time to open applications.,17,Yes,self
80,66d92e01-5cf8-4ebe-bb16-79abe482112a,329b273e-a9d9-4310-8378-e9d7f6140c0c,2022-04-13,2024-04-10,71,37,10,901,Windows 10,48,2,Overheating,The system shows a disk error message. I am unable to access certain files.,170,No,self
81,5c466a11-652f-4a71-8323-a51443b698b9,2641365d-70ca-4388-b15f-f7b967f14d0b,2023-01-31,2024-03-20,37,85,42,4072,Windows 10,41,1,Disk error,The system crashed with a blue screen. I lost all unsaved work.,166,No,IT support
82,72fd017c-2adf-43a0-883b-4a63a2133216,a0be47ab-0a8f-4689-afef-8b322ddb9aaf,2021-10-03,2024-01-23,63,74,71,4639,MacOS,32,2,Application crash,The application keeps crashing unexpectedly. I am unable to complete my work.,124,No,IT support
83,3279bd65-22d8-4a55-93da-0d2d22ae448e,ba6d4265-43f0-4250-aa7b-5399ee6a9736,2022-06-26,2024-06-01,89,35,66,4738,Windows 10,25,5,Software compatibility issue,The software is not compatible with the system. I cannot install or run the application.,69,Yes,IT support
84,b098ed41-73fd-4ce3-a9a0-57bfa5ed39dc,13fa5c36-03d3-4550-8d1e-343c2cabbf9b,2021-04-24,2024-01-30,63,71,68,588,MacOS,33,6,Network disconnection,The system gets very hot during use. This causes it to shut down.,174,No,self
85,e5426cb3-7119-48c6-877a-61b7ca4e2aca,d67cb409-4fee-44f4-89ca-839ac5142ec7,2022-05-05,2024-07-02,93,37,79,3923,Windows 11,50,9,Application crash,The laptop battery is not holding a charge. It drains very quickly.,131,Yes,self
86,ae37b7fa-7688-48bd-9250-3bbccdce6fca,3f707d93-1875-4b85-a231-8deb932a401f,2022-04-20,2024-07-05,44,89,91,1998,MacOS,22,10,Application crash,The computer is running very slowly. It takes a long time to open applications.,36,Yes,IT support
87,911861b6-51cc-4d46-ab4e-ab6dad989e97,5eaa9c47-e794-42e2-9556-c4be9b4bf737,2021-07-21,2024-06-10,21,66,11,4784,Windows 11,25,2,Disk error,Applications are taking too long to load. The system freezes frequently.,20,No,IT support
88,5cc6b611-1432-44b0-a5cf-2cc8ec0cd9f8,9ee94f14-f15d-4554-ba0b-da83216289b3,2020-10-02,2024-01-21,50,14,69,797,Linux,30,9,Disk error,I encountered a blue screen error while working. The system needs to be restarted.,108,Yes,self
89,f1bcfaae-ec57-491d-be80-fb14176c836b,53664c50-3262-48af-b3a2-8437fb713004,2020-01-12,2024-02-18,28,85,33,2983,MacOS,37,9,Battery issue,I am unable to use the software because it crashes often. This is causing a loss of data.,14,Yes,IT support
90,376ec4a7-ea7f-43dd-b347-5185613f2cbc,0bc626cd-7feb-4d36-8780-a18e02275359,2022-04-27,2024-03-17,51,64,42,1679,MacOS,34,9,Battery issue,I keep losing my internet connection. This is affecting my ability to work.,139,No,self
91,68fcad5d-e76f-4c35-a9b2-6b7c44d9bfcd,abcf11a7-0fc9-48ce-954e-5bb3c1661d93,2021-07-20,2024-01-09,73,73,83,2796,Windows 11,40,6,System slow,The battery indicator is malfunctioning. It shows incorrect battery levels.,150,Yes,IT support
92,29b0d22b-85eb-47a4-8065-8642752e6c87,ba956085-d64f-4ae2-bdd1-175cda032d26,2023-07-23,2024-06-07,29,74,55,492,MacOS,47,2,Application crash,The computer is running very slowly. It takes a long time to open applications.,116,No,self
93,db4b880e-50f8-4782-9192-06e9221dcf62,ba94acb9-ef44-43f8-bdac-19a55a5dad6d,2022-06-06,2024-05-18,20,92,88,2086,Windows 10,15,6,Overheating,I encountered a blue screen error while working. The system needs to be restarted.,68,No,IT support
94,c76b82ed-004f-4ea9-8b16-e6eeed15eafc,e7881d23-e2c3-4f8b-b770-b3782ed83d0a,2023-12-14,2024-02-08,52,50,96,555,Windows 11,45,5,Battery issue,I am unable to use the software because it crashes often. This is causing a loss of data.,80,No,self
95,c1698cfb-a4b0-476c-a837-1990e8edaa98,f08450fc-4163-4399-bea5-0ffeee7e71a7,2020-10-02,2024-02-05,22,93,17,4819,Linux,45,4,Software compatibility issue,Battery drains too quickly. I need to plug in the charger often.,153,No,IT support
96,a09cba59-fef7-43be-a4e7-bc78444eb3e3,9e2220b7-5fec-49ce-a12c-cb644a0b546a,2021-07-30,2024-05-12,91,42,19,3142,Linux,12,4,Software compatibility issue,The network connection is unstable. I keep losing my internet connection.,30,Yes,IT support
97,6f3576ef-f9b2-42d3-aa27-4699daa11a68,ce1f653c-21a8-4d00-9856-7726c3ba04bc,2023-12-09,2024-03-16,88,93,61,4919,MacOS,39,5,Application crash,Frequent application crashes are disrupting my work. The software closes without warning.,190,No,IT support
98,2dd24bea-bdaf-47c0-bb82-258412e56018,6e5aff87-dbff-43fb-a9ff-f28a7129c623,2021-05-23,2024-06-21,26,27,82,1161,MacOS,39,7,System slow,The system crashed with a blue screen. I lost all unsaved work.,185,No,self
99,75b5b19b-789e-4bc6-9116-1154452791c8,410dc242-3a81-4c60-a1d4-22cf9f36645f,2022-01-30,2024-01-09,17,65,36,1754,Linux,10,7,Disk error,The computer is overheating. The system gets very hot during use.,72,No,IT support
100,fb4ce06c-a6fc-47c8-b907-f515babc0509,0c9d7c12-903c-49d1-82d6-53619534f2a3,2024-07-13,2024-05-12,59,98,67,2836,MacOS,13,3,Blue screen error,The network connection is unstable. I keep losing my internet connection.,12,Yes,self
101,1f99f7da-dff6-4132-93b0-a16aa2ad81df,c4fdec4b-8160-4ee6-9b6e-e50091fe2ba1,2020-08-28,2024-05-06,73,24,62,1821,Linux,23,5,System slow,The battery indicator is malfunctioning. It shows incorrect battery levels.,195,No,self
102,7c9482d2-556f-4866-a0fe-b936c85f64d9,46573b8d-2294-4a67-b13b-9eb26466ad94,2023-09-01,2024-06-29,81,70,76,286,Linux,26,7,System slow,I keep losing my internet connection. This is affecting my ability to work.,63,Yes,IT support
103,758e6e15-72fa-41a2-9657-e43339c5b176,ca62cf93-8a49-444b-bb41-6fd518940814,2023-03-28,2024-06-02,10,17,65,2496,Linux,10,4,Overheating,Applications are taking too long to load. The system freezes frequently.,158,Yes,self
104,c030ca80-2873-4ee0-95d3-d896ff2d7acc,4a53361d-ef6b-48dd-8445-457f0031037b,2020-01-16,2024-05-07,33,73,89,3852,MacOS,21,5,Overheating,Applications are taking too long to load. The system freezes frequently.,178,Yes,IT support
105,c0721233-b5a7-4e4d-b01c-a565e73f32d9,42219d52-d37b-49c6-8d3c-2c8c0075c6cd,2023-03-13,2024-05-12,57,79,56,1579,Windows 11,8,3,System slow,The battery indicator is malfunctioning. It shows incorrect battery levels.,138,No,self
106,e5b03e86-8273-4a80-ad94-888118138c6d,6c4ba7b3-7cdc-4c7f-9dff-6fe00ce7260c,2024-06-22,2024-02-10,80,98,59,3573,Windows 11,27,8,Overheating,Frequent application crashes are disrupting my work. The software closes without warning.,54,No,IT support
107,aef04fbe-5943-4baf-be3f-6b7df18052f2,6f1734ad-3b3b-49d6-bcb7-e53bbc3d3bee,2021-07-09,2024-04-13,95,99,47,3709,Windows 11,45,3,System slow,I am unable to use the software because it crashes often. This is causing a loss of data.,12,Yes,IT support
108,2320bb6b-6100-4104-a190-2c8b05781981,be2b671a-5498-4c9c-b170-4ea75d7ff615,2022-03-13,2024-03-08,97,50,23,3894,MacOS,9,2,Battery issue,Compatibility issues with the new application. It does not work with the current OS.,56,Yes,self
